Date	Time	JD	PH_GEO.AH06B.CCO %
4/19/15	4:53:37	2457131.70	21.428703
4/19/15	5:08:37	2457131.71	86.420158
4/19/15	5:23:37	2457131.72	0
4/19/15	5:38:37	2457131.74	20.463083
4/19/15	5:53:37	2457131.75	100
4/19/15	6:08:37	2457131.76	0
4/19/15	6:23:37	2457131.77	4.271633
4/19/15	6:38:37	2457131.78	100
4/19/15	6:53:37	2457131.79	0
4/19/15	7:08:37	2457131.80	0
4/19/15	7:23:37	2457131.81	0
4/19/15	7:38:37	2457131.82	0
4/19/15	7:53:37	2457131.83	11.036813
4/19/15	8:08:37	2457131.84	26.069206
4/19/15	8:23:37	2457131.85	34.288658
4/19/15	8:38:37	2457131.86	39.67926
4/19/15	8:53:37	2457131.87	41.748615
4/19/15	9:08:38	2457131.88	40.587749
4/19/15	9:23:37	2457131.89	40.405231
4/19/15	9:38:37	2457131.90	31.420464
4/19/15	9:53:37	2457131.91	19.283403
4/19/15	10:08:37	2457131.92	2.089342
4/19/15	10:23:37	2457131.93	0
4/19/15	10:38:37	2457131.94	0
4/19/15	10:53:37	2457131.95	0
4/19/15	11:08:37	2457131.96	0
4/19/15	11:23:37	2457131.97	26.66371
4/19/15	11:38:37	2457131.99	14.995902
4/19/15	11:53:37	2457132.00	0
4/19/15	12:08:37	2457132.01	50.099728
4/19/15	12:23:37	2457132.02	1.412048
4/19/15	12:38:37	2457132.03	24.075827
4/19/15	12:53:37	2457132.04	13.879014
4/19/15	13:08:37	2457132.05	15.074557
4/19/15	13:23:37	2457132.06	24.506041
4/19/15	13:38:37	2457132.07	13.023317
4/19/15	13:53:37	2457132.08	27.336411
4/19/15	14:08:37	2457132.09	13.236796
4/19/15	14:23:37	2457132.10	19.485483
4/19/15	14:38:37	2457132.11	17.255217
4/19/15	14:53:37	2457132.12	17.195045
4/19/15	15:08:37	2457132.13	14.035713
4/19/15	15:23:37	2457132.14	17.932096
4/19/15	15:38:37	2457132.15	19.074276
4/19/15	15:53:37	2457132.16	12.930705
4/19/15	16:08:37	2457132.17	16.366222
4/19/15	16:23:37	2457132.18	21.601173
4/19/15	16:38:37	2457132.19	6.660301
4/19/15	16:53:37	2457132.20	27.103476
4/19/15	17:08:37	2457132.21	1.666311
4/19/15	17:23:37	2457132.22	14.600356
4/19/15	17:38:37	2457132.24	25.832844
4/19/15	17:53:37	2457132.25	0.341212
4/19/15	18:08:37	2457132.26	35.935265
4/19/15	18:23:37	2457132.27	0.636249
4/19/15	18:38:37	2457132.28	28.862019
4/19/15	18:53:37	2457132.29	15.903686
4/19/15	19:08:37	2457132.30	8.841519
4/19/15	19:23:37	2457132.31	31.098261
4/19/15	19:38:37	2457132.32	0
4/19/15	19:53:37	2457132.33	11.775835
4/19/15	20:08:37	2457132.34	0
4/19/15	20:23:37	2457132.35	0
4/19/15	20:38:37	2457132.36	0
4/19/15	20:53:37	2457132.37	0
4/19/15	21:08:37	2457132.38	0
4/19/15	21:23:37	2457132.39	0
4/19/15	21:38:37	2457132.40	0
4/19/15	21:53:37	2457132.41	0
4/19/15	22:08:37	2457132.42	0
4/19/15	22:23:37	2457132.43	0
4/19/15	22:38:37	2457132.44	0
4/19/15	22:53:37	2457132.45	0
4/19/15	23:08:37	2457132.46	0
4/19/15	23:23:37	2457132.47	0
4/19/15	23:38:37	2457132.49	2.560338
4/19/15	23:53:37	2457132.50	52.776165
4/20/15	0:08:37	2457132.51	49.615894
4/20/15	0:23:37	2457132.52	21.995697
4/20/15	0:38:37	2457132.53	0
4/20/15	0:53:37	2457132.54	0
4/20/15	1:08:37	2457132.55	0
4/20/15	1:23:37	2457132.56	0
4/20/15	1:38:37	2457132.57	77.937294
4/20/15	1:53:37	2457132.58	8.192837
4/20/15	2:08:41	2457132.59	0
4/20/15	2:23:41	2457132.60	99.12986
4/20/15	2:38:41	2457132.61	0
4/20/15	2:53:41	2457132.62	9.192135
4/20/15	3:08:41	2457132.63	99.995056
4/20/15	3:23:41	2457132.64	0
4/20/15	3:38:41	2457132.65	50.523289
4/20/15	3:53:41	2457132.66	91.651398
4/20/15	4:08:41	2457132.67	0
4/20/15	4:23:41	2457132.68	79.52356
4/20/15	4:38:41	2457132.69	37.623749
4/20/15	4:53:41	2457132.70	0
4/20/15	5:08:41	2457132.71	89.227905
4/20/15	5:23:41	2457132.72	34.748516
4/20/15	5:38:41	2457132.74	0
4/20/15	5:53:41	2457132.75	90.454216
4/20/15	6:08:41	2457132.76	50.620052
4/20/15	6:23:41	2457132.77	0
4/20/15	6:38:41	2457132.78	87.628372
4/20/15	6:53:41	2457132.79	53.984356
4/20/15	7:08:41	2457132.80	0
4/20/15	7:23:41	2457132.81	0
4/20/15	7:38:41	2457132.82	0
4/20/15	7:53:41	2457132.83	0
4/20/15	8:08:41	2457132.84	0
4/20/15	8:23:41	2457132.85	0
4/20/15	8:38:41	2457132.86	0
4/20/15	8:53:41	2457132.87	0
4/20/15	9:08:41	2457132.88	0
4/20/15	9:23:41	2457132.89	0
4/20/15	9:38:41	2457132.90	0
4/20/15	9:53:41	2457132.91	0
4/20/15	10:08:41	2457132.92	0
4/20/15	10:23:41	2457132.93	0
4/20/15	10:38:41	2457132.94	0
4/20/15	10:53:41	2457132.95	0
4/20/15	11:08:41	2457132.96	10.575562
4/20/15	11:23:41	2457132.97	15.117275
4/20/15	11:38:41	2457132.99	16.614054
4/20/15	11:53:41	2457133.00	12.177081
4/20/15	12:08:41	2457133.01	21.133293
4/20/15	12:23:41	2457133.02	31.944929
4/20/15	12:38:41	2457133.03	42.272514
4/20/15	12:53:41	2457133.04	58.926937
4/20/15	13:08:41	2457133.05	50.823231
4/20/15	13:23:41	2457133.06	25.120935
4/20/15	13:38:41	2457133.07	26.21043
4/20/15	13:53:41	2457133.08	27.533232
4/20/15	14:08:41	2457133.09	28.874445
4/20/15	14:23:41	2457133.10	28.008865
4/20/15	14:38:41	2457133.11	27.056479
4/20/15	14:53:41	2457133.12	26.86688
4/20/15	15:08:41	2457133.13	26.697609
4/20/15	15:23:41	2457133.14	27.606592
4/20/15	15:38:41	2457133.15	25.742359
4/20/15	15:53:41	2457133.16	23.925426
